product,price,quantity,date,region,sales
pink morsel,3,546,06-02-2018,north,1638
pink morsel,3,549,06-02-2018,south,1647
pink morsel,3,577,06-02-2018,east,1731
pink morsel,3,519,06-02-2018,west,1557
gold morsel,9.99,580,06-02-2018,north,5794.2
gold morsel,9.99,530,06-02-2018,south,5294.7
gold morsel,9.99,576,06-02-2018,east,5754.24
gold morsel,9.99,580,06-02-2018,west,5794.2
magenta morsel,2.5,522,06-02-2018,north,1305
magenta morsel,2.5,560,06-02-2018,south,1400
magenta morsel,2.5,583,06-02-2018,east,1457.5
magenta morsel,2.5,552,06-02-2018,west,1380
chartreuse morsel,3,543,06-02-2018,north,1629
chartreuse morsel,3,574,06-02-2018,south,1722
chartreuse morsel,3,577,06-02-2018,east,1731
chartreuse morsel,3,503,06-02-2018,west,1509
periwinkle morsel,1.25,530,06-02-2018,north,662.5
periwinkle morsel,1.25,546,06-02-2018,south,682.5
periwinkle morsel,1.25,506,06-02-2018,east,632.5
periwinkle morsel,1.25,559,06-02-2018,west,698.75
vermilion morsel,4.99,533,06-02-2018,north,2659.67
vermilion morsel,4.99,568,06-02-2018,south,2834.32
vermilion morsel,4.99,556,06-02-2018,east,2774.44
vermilion morsel,4.99,573,06-02-2018,west,2859.27
lapis morsel,1.99,544,06-02-2018,north,1082.56
lapis morsel,1.99,577,06-02-2018,south,1148.23
lapis morsel,1.99,532,06-02-2018,east,1058.68
lapis morsel,1.99,585,06-02-2018,west,1164.15
pink morsel,3,529,07-02-2018,north,1587
pink morsel,3,566,07-02-2018,south,1698
pink morsel,3,514,07-02-2018,east,1542
pink morsel,3,545,07-02-2018,west,1635
gold morsel,9.99,506,07-02-2018,north,5054.94
gold morsel,9.99,512,07-02-2018,south,5114.88
gold morsel,9.99,524,07-02-2018,east,5234.76
gold morsel,9.99,559,07-02-2018,west,5584.41
magenta morsel,2.5,594,07-02-2018,north,1485
magenta morsel,2.5,596,07-02-2018,south,1490
magenta morsel,2.5,537,07-02-2018,east,1342.5
magenta morsel,2.5,524,07-02-2018,west,1310
chartreuse morsel,3,533,07-02-2018,north,1599
chartreuse morsel,3,547,07-02-2018,south,1641
chartreuse morsel,3,501,07-02-2018,east,1503
chartreuse morsel,3,548,07-02-2018,west,1644
periwinkle morsel,1.25,573,07-02-2018,north,716.25
periwinkle morsel,1.25,545,07-02-2018,south,681.25
periwinkle morsel,1.25,578,07-02-2018,east,722.5
periwinkle morsel,1.25,504,07-02-2018,west,630
vermilion morsel,4.99,561,07-02-2018,north,2799.39
vermilion morsel,4.99,581,07-02-2018,south,2899.19
vermilion morsel,4.99,550,07-02-2018,east,2744.5
vermilion morsel,4.99,506,07-02-2018,west,2524.94
lapis morsel,1.99,518,07-02-2018,north,1030.82
lapis morsel,1.99,537,07-02-2018,south,1068.63
lapis morsel,1.99,558,07-02-2018,east,1110.42
lapis morsel,1.99,536,07-02-2018,west,1066.64
pink morsel,3,534,08-02-2018,north,1602
pink morsel,3,512,08-02-2018,south,1536
pink morsel,3,501,08-02-2018,east,1503
pink morsel,3,567,08-02-2018,west,1701
gold morsel,9.99,590,08-02-2018,north,5894.1
gold morsel,9.99,501,08-02-2018,south,5004.99
gold morsel,9.99,515,08-02-2018,east,5144.85
gold morsel,9.99,514,08-02-2018,west,5134.86
magenta morsel,2.5,559,08-02-2018,north,1397.5
magenta morsel,2.5,550,08-02-2018,south,1375
